Nombre,Tipo de dato,Default Task,Atributos,Instancias,Numero de atributos
Soybean (Small),Multivariate ,Classification ,Categorical ,47 ,35 
Challenger USA Space Shuttle O-Ring,Multivariate ,Regression ,Integer ,23 ,4 
Low Resolution Spectrometer,Multivariate ,Classification ,"Integer, Real ",531 ,102 
Spambase,Multivariate ,Classification ,"Integer, Real ",4601 ,57 
SPECT Heart,Multivariate ,Classification ,Categorical ,267 ,22 
SPECTF Heart,Multivariate ,Classification ,Integer ,267 ,44 
Sponge,Multivariate ,Clustering ,"Categorical, Integer ",76 ,45 
Statlog Project, , , , , 
Student Loan Relational,Domain-Theory , , ,1000 , 
Teaching Assistant Evaluation,Multivariate ,Classification ,"Categorical, Integer ",151 ,5 
Tic-Tac-Toe Endgame,Multivariate ,Classification ,Categorical ,958 ,9 
Thyroid Disease,"Multivariate, Domain-Theory ",Classification ,"Categorical, Real ",7200 ,21 
Trains,Multivariate ,Classification ,Categorical ,10 ,32 
University,Multivariate ,Classification ,"Categorical, Integer ",285 ,17 
Congressional Voting Records,Multivariate ,Classification ,Categorical ,435 ,16 
Water Treatment Plant,Multivariate ,Clustering ,"Integer, Real ",527 ,38 
Waveform Database Generator (Version 1),"Multivariate, Data-Generator ",Classification ,Real ,5000 ,21 
Waveform Database Generator (Version 2),"Multivariate, Data-Generator ",Classification ,Real ,5000 ,40 
Wine,Multivariate ,Classification ,"Integer, Real ",178 ,13 
Yeast,Multivariate ,Classification ,Real ,1484 ,8 
Zoo,Multivariate ,Classification ,"Categorical, Integer ",101 ,17 
Undocumented, , , , , 
Twenty Newsgroups,Text , , ,20000 , 
Australian Sign Language signs,"Multivariate, Time-Series ",Classification ,"Categorical, Real ",6650 ,15 
Australian Sign Language signs (High Quality),"Multivariate, Time-Series ",Classification ,Real ,2565 ,22 
US Census Data (1990),Multivariate ,Clustering ,Categorical ,2458285 ,68 
Census-Income (KDD),Multivariate ,Classification ,"Categorical, Integer ",299285 ,40 
Coil 1999 Competition Data,Multivariate , ,"Categorical, Real ",340 ,17 
